ax,ay,az,ga,gy,gz,ma,my,mz,,,
0.01171875,0.0703125,0.8359375,43,35,10,-10.12,134.32,-452.64,,,
0.01171875,0.06640625,0.83984375,43,35,10,-11.04,136.16,-450.8,,,
0.01171875,0.06640625,0.8359375,42,35,10,-11.96,135.24,-453.56,,,
0.01171875,0.06640625,0.83984375,43,33,8,-12.88,138,-450.8,,,
0.015625,0.06640625,0.8359375,43,34,10,-11.96,137.08,-453.56,,,
0.01171875,0.0625,0.8359375,43,35,9,-11.96,132.48,-455.4,,,
0.01171875,0.06640625,0.83203125,44,34,11,-10.12,135.24,-453.56,,,
0.01171875,0.0625,0.8359375,43,34,10,-11.04,137.08,-451.72,,,
0.01171875,0.06640625,0.8359375,43,33,10,-11.96,133.4,-451.72,,,
0.015625,0.05859375,0.83984375,41,34,10,-11.04,132.48,-454.48,,,
0.015625,0.0625,0.83203125,44,35,11,-8.28,137.08,-454.48,,,
0.015625,0.0625,0.8359375,43,34,10,-11.96,135.24,-452.64,,,
0.0078125,0.06640625,0.84375,43,34,9,-13.8,136.16,-450.8,,,
0.015625,0.06640625,0.83203125,43,34,10,-14.72,135.24,-453.56,,,
0.015625,0.0625,0.83203125,43,36,10,-10.12,134.32,-452.64,,,
0.015625,0.0625,0.8359375,43,35,8,-10.12,137.08,-451.72,,,
0.01953125,0.0703125,0.8359375,44,34,11,-9.2,136.16,-453.56,,,
0.0078125,0.06640625,0.8359375,41,34,9,-14.72,135.24,-452.64,,,
0.015625,0.06640625,0.8359375,43,34,11,-8.28,137.08,-454.48,,,
0.01171875,0.0625,0.8359375,42,35,11,-10.12,136.16,-451.72,,,
0.015625,0.06640625,0.8359375,41,34,11,-10.12,137.08,-452.64,,,
0.01171875,0.06640625,0.8359375,43,35,11,-11.96,139.84,-452.64,,,
0.0078125,0.0625,0.83203125,42,35,9,-11.96,137.08,-454.48,,,
0.01171875,0.05859375,0.83203125,43,34,10,-11.04,136.16,-453.56,,,
0.015625,0.06640625,0.83984375,42,35,11,-10.12,137.08,-448.96,,,
0.0078125,0.06640625,0.8359375,43,34,10,-12.88,137.08,-452.64,,,
0.01171875,0.06640625,0.8359375,43,34,9,-12.88,135.24,-452.64,,,
0.015625,0.06640625,0.83203125,43,33,8,-12.88,132.48,-454.48,,,
0.015625,0.06640625,0.83984375,44,34,10,-10.12,133.4,-451.72,,,
0.0078125,0.06640625,0.8359375,42,35,10,-10.12,137.08,-453.56,,,
0.01171875,0.06640625,0.8359375,43,34,10,-12.88,135.24,-453.56,,,
0.0078125,0.06640625,0.8359375,43,33,10,-11.96,137.08,-449.88,,,
0.01171875,0.0703125,0.8359375,42,34,10,-10.12,135.24,-453.56,,,
0.01171875,0.0625,0.83203125,44,35,11,-11.96,136.16,-449.88,,,
0.01171875,0.06640625,0.83984375,43,34,9,-11.96,138,-453.56,,,
0.01171875,0.0625,0.8359375,43,34,11,-12.88,136.16,-450.8,,,
0.015625,0.0625,0.84375,44,34,11,-7.36,137.08,-452.64,,,
0.01171875,0.0625,0.8359375,42,35,11,-11.04,135.24,-450.8,,,
0.01171875,0.0625,0.84375,43,34,12,-10.12,138.92,-453.56,,,
0.01171875,0.0625,0.8359375,42,34,10,-13.8,135.24,-451.72,,,
0.015625,0.06640625,0.8359375,44,34,10,-10.12,138.92,-454.48,,,
0.01171875,0.06640625,0.83203125,43,36,10,-11.96,136.16,-453.56,,,
0.01171875,0.06640625,0.8359375,43,35,9,-9.2,138,-452.64,,,
0.01171875,0.06640625,0.83203125,42,34,9,-11.04,135.24,-456.32,,,
0.01171875,0.0625,0.8359375,42,36,10,-10.12,136.16,-456.32,,,
0.0078125,0.0625,0.828125,44,34,10,-13.8,136.16,-450.8,,,
0.015625,0.06640625,0.83203125,44,35,10,-11.04,136.16,-454.48,,,
0.0078125,0.06640625,0.8359375,41,34,9,-9.2,135.24,-451.72,,,
0.0078125,0.06640625,0.8359375,44,34,9,-8.28,136.16,-452.64,,,
0.01171875,0.06640625,0.8359375,43,36,10,-11.96,134.32,-450.8,,,
0.01171875,0.0625,0.8359375,42,35,8,-9.2,136.16,-450.8,,,
0.01171875,0.0625,0.8359375,43,34,10,-11.04,137.08,-451.72,,,
0.015625,0.06640625,0.83984375,42,35,11,-11.96,135.24,-451.72,,,
0.01171875,0.06640625,0.83203125,44,36,8,-11.04,137.08,-453.56,,,
0.015625,0.0625,0.8359375,43,35,10,-11.04,136.16,-451.72,,,
0.015625,0.0625,0.8359375,42,34,10,-12.88,134.32,-452.64,,,
0.015625,0.0625,0.83203125,43,34,10,-11.04,132.48,-451.72,0.012541118,0.064898575,0.835800439
,,,,,,,,,,,
0.03125,-0.03125,0.83984375,42,34,11,-68.08,129.72,-445.28,,,
0.03515625,-0.02734375,0.8359375,43,34,10,-66.24,128.8,-444.36,,,
0.03515625,-0.02734375,0.83984375,43,34,10,-66.24,131.56,-446.2,,,
0.02734375,-0.02734375,0.828125,44,34,10,-64.4,130.64,-445.28,,,
0.02734375,-0.03125,0.8359375,43,32,8,-65.32,129.72,-443.44,,,
0.03125,-0.02734375,0.83984375,43,34,10,-64.4,129.72,-448.96,,,
0.03125,-0.03125,0.83984375,43,34,11,-65.32,130.64,-446.2,,,
0.03125,-0.03125,0.8359375,43,35,10,-67.16,128.8,-447.12,,,
0.03125,-0.02734375,0.83984375,42,32,10,-67.16,129.72,-444.36,,,
0.02734375,-0.03125,0.83203125,43,32,9,-65.32,129.72,-446.2,,,
0.03515625,-0.03125,0.83984375,42,33,10,-66.24,131.56,-447.12,,,
0.02734375,-0.0234375,0.8359375,43,34,10,-66.24,130.64,-444.36,,,
0.02734375,-0.03125,0.828125,43,34,10,-66.24,130.64,-445.28,,,
0.03515625,-0.03125,0.8359375,42,34,11,-67.16,127.88,-447.12,,,
0.03125,-0.02734375,0.8359375,44,34,9,-65.32,128.8,-444.36,,,
0.03125,-0.03125,0.83203125,44,33,11,-68.08,129.72,-448.04,,,
,,,,,,,,,,,
0.05859375,-0.06640625,0.828125,43,33,9,-82.8,119.6,-447.12,,,
0.05859375,-0.07421875,0.83203125,42,34,10,-81.88,120.52,-447.12,,,
0.0546875,-0.0703125,0.83203125,44,36,10,-81.88,119.6,-449.88,,,
0.0546875,-0.07421875,0.83203125,42,34,10,-80.04,119.6,-448.04,,,
0.05859375,-0.0703125,0.8359375,43,34,10,-83.72,121.44,-448.04,,,
0.05859375,-0.06640625,0.83203125,43,34,10,-83.72,120.52,-447.12,,,
0.05859375,-0.07421875,0.8359375,43,32,11,-83.72,120.52,-448.96,,,
0.0625,-0.0703125,0.83203125,43,35,8,-84.64,117.76,-448.04,,,
0.0546875,-0.07421875,0.828125,43,35,9,-83.72,121.44,-448.04,,,
0.0546875,-0.07421875,0.83203125,42,35,9,-85.56,121.44,-447.12,,,
0.05859375,-0.07421875,0.8359375,42,37,9,-81.88,121.44,-446.2,,,
0.05859375,-0.07421875,0.83203125,43,36,8,-83.72,120.52,-445.28,,,
0.05859375,-0.0703125,0.83203125,43,35,8,-81.88,122.36,-450.8,,,
0.05859375,-0.07421875,0.83203125,42,35,10,-84.64,121.44,-444.36,,,
0.05859375,-0.07421875,0.8359375,42,35,8,-82.8,119.6,-448.04,,,
0.05859375,-0.07421875,0.83203125,43,35,9,-80.96,119.6,-448.96,,,
0.0546875,-0.0703125,0.83203125,42,34,9,-80.96,120.52,-447.12,,,
0.05859375,-0.07421875,0.83203125,42,35,11,-84.64,121.44,-446.2,,,
0.05859375,-0.07421875,0.828125,43,34,10,-83.72,118.68,-445.28,,,
0.05859375,-0.07421875,0.8359375,43,34,11,-82.8,121.44,-447.12,,,
0.05859375,-0.078125,0.828125,42,34,10,-80.96,120.52,-448.96,,,
0.05859375,-0.07421875,0.8359375,41,33,9,-81.88,121.44,-445.28,,,
0.0546875,-0.07421875,0.8359375,42,34,10,-82.8,118.68,-448.96,,,
0.05859375,-0.078125,0.828125,44,34,10,-80.04,117.76,-444.36,,,
0.05078125,-0.0703125,0.83984375,43,35,11,-83.72,122.36,-446.2,,,
0.0546875,-0.07421875,0.83203125,43,35,10,-83.72,122.36,-447.12,,,
0.05859375,-0.07421875,0.83203125,44,34,10,-83.72,118.68,-446.2,,,
0.05859375,-0.0703125,0.8359375,43,33,11,-81.88,122.36,-444.36,,,
