t = 2016-06-25 17:30:15.895375, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (40, 42, 10), mag = (20.24, 80.96, -537.28), heading = -0, pitch = -1, roll = -10
heading = -0°, pitch = -1°, roll = -10°, t = 25ms, f = 40Hz
t = 2016-06-25 17:30:15.926838, accel = (0.02734375, 0.05859375, 0.83203125), gyro = (40, 40, 8), mag = (23.0, 85.56, -536.36), heading = -0, pitch = -1, roll = -10
t = 2016-06-25 17:30:15.944303, accel = (0.0234375, 0.0625, 0.84375), gyro = (41, 40, 10), mag = (23.0, 85.56, -536.36), heading = -0, pitch = -2, roll = -10
t = 2016-06-25 17:30:15.961868, accel = (0.015625, 0.0625, 0.83984375), gyro = (39, 40, 10), mag = (23.0, 85.56, -536.36), heading = -1, pitch = -2, roll = -9
t = 2016-06-25 17:30:15.978607, accel = (0.01953125, 0.0625, 0.8359375), gyro = (41, 39, 8), mag = (23.0, 85.56, -536.36), heading = -1, pitch = -2, roll = -9
t = 2016-06-25 17:30:15.996196, accel = (0.01953125, 0.0625, 0.83984375), gyro = (40, 40, 10), mag = (23.0, 86.48, -535.44), heading = -1, pitch = -2, roll = -9
t = 2016-06-25 17:30:16.013376, accel = (0.01953125, 0.06640625, 0.8359375), gyro = (41, 39, 9), mag = (23.0, 86.48, -535.44), heading = -1, pitch = -3, roll = -9
t = 2016-06-25 17:30:16.030676, accel = (0.01953125, 0.0625, 0.8359375), gyro = (42, 41, 10), mag = (23.0, 86.48, -535.44), heading = -2, pitch = -3, roll = -9
t = 2016-06-25 17:30:16.047740, accel = (0.015625, 0.05859375, 0.83203125), gyro = (41, 41, 9), mag = (23.0, 86.48, -535.44), heading = -2, pitch = -3, roll = -9
t = 2016-06-25 17:30:16.066286, accel = (0.015625, 0.0625, 0.84375), gyro = (40, 41, 9), mag = (20.24, 88.32, -537.28), heading = -2, pitch = -3, roll = -9
t = 2016-06-25 17:30:16.083480, accel = (0.0234375, 0.05859375, 0.83203125), gyro = (42, 40, 9), mag = (20.24, 88.32, -537.28), heading = -2, pitch = -3, roll = -9
t = 2016-06-25 17:30:16.100760, accel = (0.015625, 0.05859375, 0.8359375), gyro = (43, 39, 11), mag = (20.24, 88.32, -537.28), heading = -3, pitch = -4, roll = -9
t = 2016-06-25 17:30:16.117880, accel = (0.01953125, 0.0625, 0.83203125), gyro = (41, 40, 7), mag = (22.08, 84.64, -537.28), heading = -3, pitch = -4, roll = -9
t = 2016-06-25 17:30:16.134146, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (41, 40, 10), mag = (22.08, 84.64, -537.28), heading = -3, pitch = -4, roll = -9
t = 2016-06-25 17:30:16.151558, accel = (0.0234375, 0.0625, 0.83984375), gyro = (41, 40, 9), mag = (22.08, 84.64, -537.28), heading = -3, pitch = -4, roll = -9
t = 2016-06-25 17:30:16.170009, accel = (0.01953125, 0.0625, 0.83984375), gyro = (40, 41, 10), mag = (22.08, 84.64, -537.28), heading = -4, pitch = -4, roll = -9
t = 2016-06-25 17:30:16.187685, accel = (0.01953125, 0.0625, 0.8359375), gyro = (42, 41, 9), mag = (21.16, 88.32, -538.2), heading = -4, pitch = -4, roll = -9
t = 2016-06-25 17:30:16.204560, accel = (0.015625, 0.0625, 0.83984375), gyro = (41, 41, 9), mag = (21.16, 88.32, -538.2), heading = -4, pitch = -4, roll = -9
t = 2016-06-25 17:30:16.222275, accel = (0.015625, 0.0625, 0.8359375), gyro = (40, 40, 10), mag = (21.16, 88.32, -538.2), heading = -5, pitch = -4, roll = -9
t = 2016-06-25 17:30:16.239257, accel = (0.01953125, 0.0625, 0.83203125), gyro = (41, 41, 9), mag = (21.16, 88.32, -538.2), heading = -5, pitch = -4, roll = -9
t = 2016-06-25 17:30:16.254592, accel = (0.0234375, 0.05859375, 0.8359375), gyro = (41, 41, 10), mag = (23.0, 86.48, -536.36), heading = -5, pitch = -5, roll = -9
t = 2016-06-25 17:30:16.274769, accel = (0.015625, 0.0625, 0.8359375), gyro = (41, 41, 11), mag = (23.0, 86.48, -536.36), heading = -5, pitch = -5, roll = -9
t = 2016-06-25 17:30:16.292062, accel = (0.01953125, 0.05859375, 0.8359375), gyro = (40, 41, 9), mag = (23.0, 86.48, -536.36), heading = -6, pitch = -5, roll = -10
t = 2016-06-25 17:30:16.308868, accel = (0.0234375, 0.05859375, 0.8359375), gyro = (42, 41, 9), mag = (23.0, 86.48, -536.36), heading = -6, pitch = -5, roll = -10
